"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"17088","ENSG00000137575","ENST00000260130","SDCBP"
"17089","ENSG00000137575","ENST00000447182","SDCBP"
"17090","ENSG00000137575","ENST00000424270","SDCBP"
"17091","ENSG00000137575","ENST00000523483","SDCBP"
"17092","ENSG00000178860","ENST00000325509","MSC"
"17093","ENSG00000147669","ENST00000353107","POLR2K"
"17094","ENSG00000020181","ENST00000412232","ADGRA2"
"17095","ENSG00000104472","ENST00000220913","CHRAC1"
"17096","ENSG00000187840","ENST00000338825","EIF4EBP1"
"17097","ENSG00000104218","ENST00000262210","CSPP1"
"17098","ENSG00000104218","ENST00000519668","CSPP1"
"17099","ENSG00000181135","ENST00000532205","ZNF707"
"17100","ENSG00000185728","ENST00000539294","YTHDF3"
"17101","ENSG00000185728","ENST00000621413","YTHDF3"
"17102","ENSG00000185728","ENST00000623280","YTHDF3"
"17103","ENSG00000183779","ENST00000331569","ZNF703"
"17104","ENSG00000104375","ENST00000419617","STK3"
"17105","ENSG00000104375","ENST00000523601","STK3"
"17106","ENSG00000104375","ENST00000617590","STK3"
"17107","ENSG00000164932","ENST00000330295","CTHRC1"
"17108","ENSG00000164932","ENST00000520337","CTHRC1"
"17109","ENSG00000180900","ENST00000356994","SCRIB"
"17110","ENSG00000180900","ENST00000320476","SCRIB"
"17111","ENSG00000168172","ENST00000307602","HOOK3"
"17112","ENSG00000158669","ENST00000396987","GPAT4"
"17113","ENSG00000147536","ENST00000276533","GINS4"
"17114","ENSG00000164919","ENST00000520468","COX6C"
"17115","ENSG00000155096","ENST00000337198","AZIN1"
"17116","ENSG00000155096","ENST00000347770","AZIN1"
"17117","ENSG00000168615","ENST00000487273","ADAM9"
"17118","ENSG00000132549","ENST00000355155","VPS13B"
"17119","ENSG00000132549","ENST00000357162","VPS13B"
"17120","ENSG00000132549","ENST00000358544","VPS13B"
"17121","ENSG00000132549","ENST00000441350","VPS13B"
"17122","ENSG00000176209","ENST00000438528","SMIM19"
"17123","ENSG00000147533","ENST00000357743","GOLGA7"
"17124","ENSG00000147533","ENST00000405786","GOLGA7"
"17125","ENSG00000164934","ENST00000297579","DCAF13"
"17126","ENSG00000164934","ENST00000612750","DCAF13"
"17127","ENSG00000164933","ENST00000297578","SLC25A32"
"17128","ENSG00000175073","ENST00000310421","VCPIP1"
"17129","ENSG00000120526","ENST00000239690","NUDCD1"
"17130","ENSG00000120526","ENST00000427660","NUDCD1"
"17131","ENSG00000104320","ENST00000265433","NBN"
"17132","ENSG00000104320","ENST00000409330","NBN"
