"","geneid","hl.ratio","pval"
"612","KDM5A","NA","NA"
"613","AKAP6","NA","NA"
"614","ICAM5","-8.4778364352062692","1.4049954603962599E-5"
"615","PDSS1","NA","NA"
"616","HEPHL1","NA","NA"
"617","SERINC5","NA","NA"
"618","DOPEY1","NA","NA"
"619","41704","NA","NA"
"620","BRAF","NA","NA"
"621","HEXIM1","2.3324021735487399","5.1455951795421797E-4"
"622","SERTAD1","NA","NA"
"623","CSRP2","0.51596816202856999","7.6875314632567695E-6"
"624","GTF2B","2.9933870415217498","4.7193274093510702E-63"
"625","ALAS1","NA","NA"
"626","PCSK5","NA","NA"
"627","ZNF267","NA","NA"
"628","CHAC1","NA","NA"
"629","ZRSR2","NA","NA"
"630","FKBP1B","NA","NA"
"631","SH3RF2","NA","NA"
"632","HSPH1","0.50325910108702498","2.4614306453851401E-17"
"633","HIPK3","NA","NA"
"634","MCTP1","NA","NA"
"635","AL162389.1","NA","NA"
"636","EIF1","0.72155088694308001","3.3545882077709602E-2"
"637","XIRP1","0.83484443281697696","0.661274829814538"
"638","FAM108B1","NA","NA"
"639","RHPN2","NA","NA"
"640","ELAVL2","0.33589895994506702","0.26975183384238299"
"641","FAM13B","NA","NA"
"642","RCL1","-0.24903663278817001","0.39767972769243598"
"643","TBPL1","1.20235857565211","2.6571626129985801E-2"
"644","DNAJB1","0.94084930618860996","8.4559937901013599E-7"
"645","NOS1AP","NA","NA"
"646","DCLK2","NA","NA"
"647","ZNF280B","NA","NA"
"648","LIN7A","NA","NA"
"649","ZNF654","NA","NA"
"650","PNPLA8","NA","NA"
"651","SGPP1","NA","NA"
"652","HKDC1","NA","NA"
"653","AHCTF1","1.14851335017273","2.3247595551547402E-9"
"654","SYS1-DBNDD2","NA","NA"
"655","TRAPPC6B","0.478187722828818","0.18962566532103101"
"656","IL18BP","NA","NA"
"657","MED10","0.79491438190794295","0.731598986929346"
"658","SYPL2","NA","NA"
"659","CLP1","NA","NA"
"660","C16orf87","4.23849947891817","6.2629719062173406E-2"
"661","RCOR1","1.401034250038","2.0245275309132299E-4"
"662","ZNF845","NA","NA"
"663","NUFIP1","NA","NA"
"664","TAF5","NA","NA"
"665","PPARG","NA","NA"
"666","SPAG1","NA","NA"
"667","ZNF460","NA","NA"
"668","PCDH10","NA","NA"
"669","DHX8","2.8631466677303798","4.8574717624926198E-5"
"670","MXD1","NA","NA"
"671","ZNF506","NA","NA"
"672","SCML1","NA","NA"
"673","INO80D","NA","NA"
"674","GBX2","NA","NA"
"675","BCAS2","-0.51744295537229901","0.19739897955763899"
"676","DUSP12","0.37119228496089601","0.84282432472358604"
"677","CRLF3","1.06653559504693","0.14204618190808199"
"678","RNF138","NA","NA"
"679","DDX10","0.80017288777218198","0.60604295511934203"
"680","ACER2","NA","NA"
"681","ZSCAN5A","NA","NA"
"682","ANKRD36BP1","NA","NA"
"683","TAF3","NA","NA"
"684","RBBP5","0.738765141111422","4.04749552722284E-2"
"685","ZFP91-CNTF","NA","NA"
"686","CYP27B1","NA","NA"
"687","IFNLR1","NA","NA"
"688","BPGM","-2.2664801079282402","7.9947875450129498E-11"
"689","CLK1","NA","NA"
"690","CSRNP3","NA","NA"
"691","MTUS1","NA","NA"
"692","MFSD11","NA","NA"
"693","SIRT7","NA","NA"
"694","CCDC59","2.3081366005458199","0.218233357826743"
"695","FRS2","NA","NA"
"696","PKN2","0.86604795560451298","1.66399328571851E-13"
"697","RNGTT","NA","NA"
"698","RELN","NA","NA"
"699","EFHD1","NA","NA"
"700","MFAP3L","NA","NA"
"701","DYNC1I1","NA","NA"
"702","ECD","NA","NA"
"703","LRRC16A","NA","NA"
"704","BMP4","NA","NA"
"705","RPP40","2.1791755277022502","0.25261822656125299"
"706","MED6","0.42757006195893199","0.91662384607042902"
"707","GOLGB1","1.4407635928381399","5.9546152545490203E-74"
"708","PNO1","1.1504980627724799","1.72042983620996E-5"
"709","NR4A3","NA","NA"
"710","DUSP16","NA","NA"
"711","RBM15","-4.36603875642054E-2","0.73941307713739701"
"712","CDKL5","NA","NA"
"713","YPEL5","1.94176215491652","9.1027389118298002E-7"
"714","ABCC9","NA","NA"
"715","CHD1","NA","NA"
"716","EXOSC10","1.1288295950362499","5.4122683491823504E-4"
"717","ACAP2","NA","NA"
"718","YARS2","0.54374819679376796","0.35899141130016998"
"719","TCHH","NA","NA"
"720","RP11-159G9.5","NA","NA"
"721","MOSPD1","0.478953712378685","0.80631360493845206"
"722","FAM133B","NA","NA"
"723","FBXL12","NA","NA"
"724","ARID4A","NA","NA"
"725","UTS2","NA","NA"
