"","id","hgnc_symbol"
"9544","ENSG00000069399","BCL3"
"9545","ENSG00000105379","ETFB"
"9546","ENSG00000105379","ETFB"
"9547","ENSG00000213921","LEUTX"
"9548","ENSG00000213921","LEUTX"
"9549","ENSG00000105193","RPS16"
"9550","ENSG00000105193","RPS16"
"9551","ENSG00000126243","LRFN3"
"9552","ENSG00000196961","AP2A1"
"9553","ENSG00000196961","AP2A1"
"9554","ENSG00000073008","PVR"
"9555","ENSG00000073008","PVR"
"9556","ENSG00000073008","PVR"
"9557","ENSG00000177051","FBXO46"
"9558","ENSG00000269190","FBXO17"
"9559","ENSG00000198093","ZNF649"
"9560","ENSG00000105497","ZNF175"
"9561","ENSG00000104823","ECH1"
"9562","ENSG00000024422","EHD2"
"9563","ENSG00000105472","CLEC11A"
"9564","ENSG00000213799","ZNF845"
"9565","ENSG00000267041","ZNF850"
"9566","ENSG00000267041","ZNF850"
"9567","ENSG00000079432","CIC"
"9568","ENSG00000125505","MBOAT7"
"9569","ENSG00000125505","MBOAT7"
"9570","ENSG00000125505","MBOAT7"
"9571","ENSG00000128000","ZNF780B"
"9572","ENSG00000075702","WDR62"
"9573","ENSG00000075702","WDR62"
"9574","ENSG00000189114","BLOC1S3"
"9575","ENSG00000105443","CYTH2"
"9576","ENSG00000205138","SDHAF1"
"9577","ENSG00000011485","PPP5C"
"9578","ENSG00000196417","ZNF765"
"9579","ENSG00000124299","PEPD"
"9580","ENSG00000124299","PEPD"
"9581","ENSG00000124299","PEPD"
"9582","ENSG00000198346","ZNF813"
"9583","ENSG00000170949","ZNF160"
"9584","ENSG00000170949","ZNF160"
"9585","ENSG00000126453","BCL2L12"
"9586","ENSG00000126453","BCL2L12"
"9587","ENSG00000126453","BCL2L12"
"9588","ENSG00000186020","ZNF529"
"9589","ENSG00000186020","ZNF529"
"9590","ENSG00000196967","ZNF585A"
"9591","ENSG00000178982","EIF3K"
"9592","ENSG00000178982","EIF3K"
"9593","ENSG00000178982","EIF3K"
"9594","ENSG00000105483","CARD8"
"9595","ENSG00000105483","CARD8"
"9596","ENSG00000105486","LIG1"
"9597","ENSG00000105486","LIG1"
"9598","ENSG00000105486","LIG1"
"9599","ENSG00000198453","ZNF568"
"9600","ENSG00000196357","ZNF565"
"9601","ENSG00000105281","SLC1A5"
"9602","ENSG00000105281","SLC1A5"
"9603","ENSG00000105281","SLC1A5"
"9604","ENSG00000153896","ZNF599"
"9605","ENSG00000181027","FKRP"
"9606","ENSG00000187244","BCAM"
"9607","ENSG00000187244","BCAM"
"9608","ENSG00000182013","PNMA8A"
"9609","ENSG00000182013","PNMA8A"
"9610","ENSG00000160014","CALM3"
"9611","ENSG00000012061","ERCC1"
"9612","ENSG00000012061","ERCC1"
"9613","ENSG00000012061","ERCC1"
"9614","ENSG00000105202","FBL"
"9615","ENSG00000105287","PRKD2"
"9616","ENSG00000105287","PRKD2"
"9617","ENSG00000006712","PAF1"
"9618","ENSG00000006712","PAF1"
"9619","ENSG00000130881","LRP3"
"9620","ENSG00000131944","FAAP24"
"9621","ENSG00000131944","FAAP24"
"9622","ENSG00000161277","THAP8"
"9623","ENSG00000142230","SAE1"
"9624","ENSG00000142230","SAE1"
"9625","ENSG00000142230","SAE1"
"9626","ENSG00000239382","ALKBH6"
"9627","ENSG00000239382","ALKBH6"
"9628","ENSG00000126456","IRF3"
"9629","ENSG00000126456","IRF3"
"9630","ENSG00000126456","IRF3"
"9631","ENSG00000126456","IRF3"
"9632","ENSG00000126456","IRF3"
"9633","ENSG00000126456","IRF3"
"9634","ENSG00000153879","CEBPG"
"9635","ENSG00000104853","CLPTM1"
"9636","ENSG00000104853","CLPTM1"
"9637","ENSG00000104853","CLPTM1"
"9638","ENSG00000196235","SUPT5H"
"9639","ENSG00000196235","SUPT5H"
"9640","ENSG00000128016","ZFP36"
"9641","ENSG00000170954","ZNF415"
"9642","ENSG00000170954","ZNF415"
"9643","ENSG00000182986","ZNF320"
"9644","ENSG00000105290","APLP1"
"9645","ENSG00000007047","MARK4"
"9646","ENSG00000007047","MARK4"
"9647","ENSG00000105618","PRPF31"
"9648","ENSG00000105619","TFPT"
"9649","ENSG00000169169","CPT1C"
"9650","ENSG00000169169","CPT1C"
"9651","ENSG00000125755","SYMPK"
"9652","ENSG00000176401","EID2B"
"9653","ENSG00000180257","ZNF816"
"9654","ENSG00000130202","NECTIN2"
"9655","ENSG00000130202","NECTIN2"
"9656","ENSG00000179134","SAMD4B"
"9657","ENSG00000179134","SAMD4B"
"9658","ENSG00000204604","ZNF468"
"9659","ENSG00000090924","PLEKHG2"
"9660","ENSG00000197937","ZNF347"
"9661","ENSG00000126464","PRR12"
"9662","ENSG00000213965","NUDT19"
"9663","ENSG00000170604","IRF2BP1"
"9664","ENSG00000142546","NOSIP"
"9665","ENSG00000126458","RRAS"
"9666","ENSG00000076650","GPATCH1"
"9667","ENSG00000170264","FAM161A"
"9668","ENSG00000170264","FAM161A"
"9669","ENSG00000121413","ZSCAN18"
"9670","ENSG00000121413","ZSCAN18"
"9671","ENSG00000115464","USP34"
"9672","ENSG00000178229","ZNF543"
"9673","ENSG00000258873","DUXA"
"9674","ENSG00000138081","FBXO11"
"9675","ENSG00000138081","FBXO11"
"9676","ENSG00000115241","PPM1G"
"9677","ENSG00000138032","PPM1B"
"9678","ENSG00000138032","PPM1B"
"9679","ENSG00000138032","PPM1B"
"9680","ENSG00000138032","PPM1B"
"9681","ENSG00000172059","KLF11"
"9682","ENSG00000119760","SUPT7L"
"9683","ENSG00000119760","SUPT7L"
"9684","ENSG00000119760","SUPT7L"
"9685","ENSG00000196263","ZNF471"
"9686","ENSG00000243943","ZNF512"
"9687","ENSG00000243943","ZNF512"
"9688","ENSG00000243943","ZNF512"
"9689","ENSG00000162929","KIAA1841"
"9690","ENSG00000162929","KIAA1841"
"9691","ENSG00000162929","KIAA1841"
"9692","ENSG00000181894","ZNF329"
"9693","ENSG00000152454","ZNF256"
"9694","ENSG00000183647","ZNF530"
"9695","ENSG00000198522","GPN1"
"9696","ENSG00000198522","GPN1"
"9697","ENSG00000198522","GPN1"
"9698","ENSG00000198522","GPN1"
"9699","ENSG00000171649","ZIK1"
"9700","ENSG00000068724","TTC7A"
"9701","ENSG00000068724","TTC7A"
"9702","ENSG00000083828","ZNF586"
"9703","ENSG00000083828","ZNF586"
"9704","ENSG00000243147","MRPL33"
"9705","ENSG00000243147","MRPL33"
"9706","ENSG00000243667","WDR92"
"9707","ENSG00000243667","WDR92"
"9708","ENSG00000182551","ADI1"
"9709","ENSG00000182551","ADI1"
"9710","ENSG00000152443","ZNF776"
"9711","ENSG00000169621","APLF"
"9712","ENSG00000162869","PPP1R21"
"9713","ENSG00000162869","PPP1R21"
"9714","ENSG00000162869","PPP1R21"
"9715","ENSG00000173581","CCDC106"
"9716","ENSG00000213015","ZNF580"
"9717","ENSG00000171425","ZNF581"
"9718","ENSG00000261221","ZNF865"
"9719","ENSG00000179943","FIZ1"
"9720","ENSG00000218891","ZNF579"
"9721","ENSG00000151665","PIGF"
"9722","ENSG00000151665","PIGF"
"9723","ENSG00000169604","ANTXR1"
"9724","ENSG00000169604","ANTXR1"
"9725","ENSG00000169604","ANTXR1"
